id_group,type,x,y,cell_diameter,id_cell,id_layer,angle,radius,area
474,epidermis,0.358555975288393,-0.003176973820945473,0.02,6623,1,-0.028176037017863118,0.35707024421599465,0.00020921504111486922
475,epidermis,0.35835288403361865,-0.013256551016963618,0.02,6637,1,-0.05635179036474081,0.3570572215006508,0.00020920024654810983
476,epidermis,0.35782550031831695,-0.02334553967567086,0.02,6651,1,-0.08452734104259148,0.3570482971710366,0.00020920459229982656
477,epidermis,0.3570182324749556,-0.03341560975527211,0.02,6665,1,-0.11270276938779665,0.3570434801154875,0.0002092129254247954
478,epidermis,0.35593172052429894,-0.043459145157381286,0.02,6679,1,-0.14087815493356157,0.3570427782713656,0.00020913512841688826
479,epidermis,0.35456680511923677,-0.05346855032377823,0.02,6693,1,-0.1690535765425826,0.3570461975467562,0.00020902361667222234
480,epidermis,0.3529245261432168,-0.06343625500288966,0.02,6707,1,-0.1972291126504291,0.3570537415722214,0.00020894816906393807
481,epidermis,0.35100612199851355,-0.07335471907958603,0.02,6721,1,-0.22540484146878012,0.35706541206462794,0.00020892925556678668
482,epidermis,0.34881302930395347,-0.0832164375302439,0.02,6735,1,-0.25358084109798096,0.35708120946559996,0.00020899540322650933
483,epidermis,0.34634225529301454,-0.0930148657899441,0.02,6749,1,-0.2817570060554495,0.3570739992024972,0.0002091317907995658
484,epidermis,0.3435722499816338,-0.10273411391015555,0.02,6763,1,-0.30993289973636673,0.3570597422760703,0.0002090564567183338
485,epidermis,0.3405275580947656,-0.11236823308738238,0.02,6777,1,-0.3381085694485326,0.3570496128638049,0.0002090146379027831
486,epidermis,0.3372186395190646,-0.12191343873259901,0.02,6791,1,-0.36628409325447325,0.3570436113405982,0.0002089681653766673
487,epidermis,0.3336461030168602,-0.1313628386416804,0.02,6805,1,-0.3944595492359922,0.357041737930783,0.00020895722691336287
488,epidermis,0.32981266413459537,-0.14070929013735908,0.02,6819,1,-0.4226350154840142,0.3570439927089801,0.0002090509936750708
489,epidermis,0.32572122704528644,-0.14994572538402903,0.02,6833,1,-0.45081057008836506,0.3570503756013683,0.0002091464818026845
490,epidermis,0.3213748825665227,-0.15906515619202533,0.02,6847,1,-0.4789862911273139,0.35706088638742056,0.00020916541287222519
491,epidermis,0.3167769060629755,-0.16806067877273603,0.02,6861,1,-0.5071622566568829,0.35707552470158743,0.0002091825452230166
492,epidermis,0.3119279843758858,-0.17692532005268324,0.02,6875,1,-0.5353384812344233,0.35707832857145666,0.000209233468323698
493,epidermis,0.30681695046769153,-0.1856438636000034,0.02,6889,1,-0.5635145011971654,0.3570629127777136,0.00020921722097403994
494,epidermis,0.301449689767686,-0.19420539756810776,0.02,6903,1,-0.591690270831219,0.35705162442563326,0.00020925982788069016
495,epidermis,0.2958509297174244,-0.20261467835148492,0.02,6917,1,-0.6198658681880929,0.3570444639038601,0.00020924953665024464
496,epidermis,0.29002105654202803,-0.21086501884374267,0.02,6931,1,-0.6480413713439269,0.3570414314568305,0.0002091360449786821
497,epidermis,0.2839644938435236,-0.2189501880199152,0.02,6945,1,-0.6762168583887113,0.35704252718406104,0.0002090589093173028
498,epidermis,0.2776858289590013,-0.22686407475230697,0.02,6959,1,-0.704392407415598,0.35704775103974407,0.00020896628777088472
499,epidermis,0.2711898098302962,-0.2346006919595938,0.02,6973,1,-0.73256809651025,0.3570571028330367,0.00020887662213446532
500,epidermis,0.2644813417748084,-0.2421541806792257,0.02,6987,1,-0.7607440037400617,0.35707058222931837,0.000208956349576605
501,epidermis,0.2575646913264698,-0.24951855964068975,0.02,7001,1,-0.7889202014488905,0.3570834002373178,0.00020907997142586134
502,epidermis,0.250437008420219,-0.25668310852413057,0.02,7015,1,-0.8170963234937252,0.35706682546237395,0.00020915718784929386
503,epidermis,0.24309078695943753,-0.2636229650506921,0.02,7029,1,-0.8452721688700141,0.35705437794567385,0.00020909453521829877
504,epidermis,0.23556054787880215,-0.2703579551437361,0.02,7043,1,-0.873447815624264,0.35704605812793266,0.0002089862868357019
505,epidermis,0.22784651441771453,-0.27688105572894706,0.02,7057,1,-0.9016233418295557,0.3570418663080483,0.00020889077238685916
506,epidermis,0.21995453433207462,-0.28318734749944907,0.02,7071,1,-0.9297988255745083,0.3570418026409121,0.0002089809150538052
507,epidermis,0.211890583680372,-0.289272068389223,0.02,7085,1,-0.9579743449525344,0.35704586713627084,0.00020909387482167136
508,epidermis,0.2036607627483525,-0.2951306167989583,0.02,7099,1,-0.986149978051196,0.35705405965854076,0.00020913086515157337
509,epidermis,0.19527129189746167,-0.300758554722801,0.02,7113,1,-1.0143258029415037,0.35706637992728985,0.00020918573548705448
510,epidermis,0.18672850733899019,-0.3061516107741316,0.02,7127,1,-1.0425018976671259,0.3570828275179795,0.00020925180555512156
511,epidermis,0.17803425283456872,-0.31130258272663813,0.02,7141,1,-1.0706780875557,0.35707147835137537,0.00020926253893560352
512,epidermis,0.16918373883732624,-0.31618167736934755,0.02,7155,1,-1.0988539846334722,0.35705787189096494,0.00020925130108022022
513,epidermis,0.16020313641114448,-0.32081053112706476,0.02,7169,1,-1.1270296567308442,0.3570483930635025,0.0002092115630776923
514,epidermis,0.1510987413273124,-0.3251887736442811,0.02,7183,1,-1.155205181910416,0.3570430421984634,0.0002091451442820078
515,epidermis,0.14187654869133245,-0.32931246516640733,0.02,7197,1,-1.183380638254342,0.35704181947990515,0.0002091137714571642
516,epidermis,0.13254353963960044,-0.3331784984044437,0.02,7211,1,-1.2115561038536893,0.35704472494463757,0.000209026858306481
517,epidermis,0.12310677516553484,-0.3367839526286973,0.02,7225,1,-1.239731656798061,0.3570517584804632,0.000208905297306237
518,epidermis,0.1135733913136326,-0.3401260956467036,0.02,7239,1,-1.2679073751654388,0.35706291982490457,0.0002089303101969643
519,epidermis,0.10395059432736282,-0.34320238566453387,0.02,7253,1,-1.2960833370120843,0.35707820856401556,0.00020908046069163973
520,epidermis,0.09424326386677585,-0.3460077717207671,0.02,7267,1,-1.3242595139521358,0.3570768734918283,0.0002091395865691231
521,epidermis,0.08445429704157115,-0.3485201898347123,0.02,7281,1,-1.3524354385402548,0.357062107790696,0.00020910970219181906
522,epidermis,0.07459799798834867,-0.35074543277884473,0.02,7295,1,-1.3806111118389492,0.3570514688941387,0.00020899608366347467
523,epidermis,0.0646860515867332,-0.35269849546989424,0.02,7309,1,-1.4087866119784136,0.35704495600117375,0.00020888774117841594
524,epidermis,0.05472400718488738,-0.3543755770945362,0.02,7323,1,-1.4369620172304673,0.3570425668373187,0.00020894001167917232
525,epidermis,0.04471940234434516,-0.35577542166805165,0.02,7337,1,-1.4651374061472437,0.35704429711545055,0.00020903573272751968
526,epidermis,0.034679804954442076,-0.3568969718474228,0.02,7351,1,-1.493312857777442,0.35705014039077704,0.0002091067120936156
527,epidermis,0.024612808362065614,-0.35773936963289477,0.02,7365,1,-1.521488451878118,0.3570600885750711,0.00020920833367804676
528,epidermis,0.014526026552152382,-0.3583019576862706,0.02,7379,1,-1.549664268966411,0.3570741332379867,0.00020928614780776442
529,epidermis,0.004426333070991781,-0.35858279742043153,0.02,7393,1,-1.5778403672908006,0.3570826893664423,0.0002092246278877925
530,epidermis,-0.005679853335068933,-0.3585689891006276,0.02,7407,1,-1.6060163262793903,0.3570665987193387,0.00020921904136995126
531,epidermis,-0.01578015420427667,-0.3582472984944625,0.02,7421,1,-1.6341920218270833,0.3570546010702812,0.0002091941441482776
532,epidermis,-0.02586512817908941,-0.35764989624161864,0.02,7435,1,-1.6623675347434177,0.3570467043139042,0.00020917016339588323
533,epidermis,-0.0359292780051232,-0.3567727510891981,0.02,7449,1,-1.6905429451526792,0.357042916827283,0.00020916884444566728
534,epidermis,-0.04596499221621722,-0.3556165530018295,0.02,7463,1,-1.7187183324269275,0.357043245863512,0.00020908954745647276
535,epidermis,-0.0559646810663517,-0.3541821923609352,0.02,7477,1,-1.7468937753386882,0.35704769671354186,0.00020898177584628724
536,epidermis,-0.06592078133606723,-0.35247075874096256,0.02,7491,1,-1.7750693522842076,0.3570562725729291,0.00020896239241574842
537,epidermis,-0.07582576120170019,-0.3504835402455903,0.02,7505,1,-1.8032451414588884,0.3570689749135552,0.00020901581388799766
538,epidermis,-0.0856721252161376,-0.34822202315269657,0.02,7519,1,-1.831421220952629,0.3570858040626054,0.000209024312322816
539,epidermis,-0.095453619478245,-0.3456816224164725,0.02,7533,1,-1.8595973331931233,0.35707004849558804,0.0002091347710698448
540,epidermis,-0.10515074922146089,-0.3428349956267264,0.02,7547,1,-1.8877731635287798,0.35705682341386474,0.00020902691891921092
541,epidermis,-0.11476312332376215,-0.3397251838843414,0.02,7561,1,-1.9159487894082934,0.3570477259523053,0.00020894786765065666
542,epidermis,-0.12428505106909052,-0.3363501166229633,0.02,7575,1,-1.944124288900051,0.35704275644907074,0.00020893554220445426
543,epidermis,-0.1337093806566333,-0.3327120925337185,0.02,7589,1,-1.9722997400891462,0.35704191509119354,0.00020898982004976816
544,epidermis,-0.14302898766662608,-0.32881387449923066,0.02,7603,1,-2.000475221067247,0.3570452019161271,0.00020909924910058312
545,epidermis,-0.15223682372645114,-0.32465841354406594,0.02,7617,1,-2.0286508099223273,0.35705261681328365,0.00020918956835055938
546,epidermis,-0.16132592130292564,-0.32024884682380905,0.02,7631,1,-2.0568265847281415,0.35706415952580317,0.00020921828204693326
547,epidermis,-0.17028939844469632,-0.3155884954987468,0.02,7645,1,-2.085002623533498,0.3570798296521265,0.0002091844612882373
548,epidermis,-0.17912017823405404,-0.3106764311610372,0.02,7659,1,-2.1131788420692295,0.35707408820784053,0.0002092132091313346
549,epidermis,-0.1877981568205553,-0.30549673493988916,0.02,7673,1,-2.1413547920941856,0.35705970423350175,0.0002091975729941783
550,epidermis,-0.19632227356042117,-0.30007190209896833,0.02,7687,1,-2.1695305113001826,0.357049447810984,0.00020919207617573843
551,epidermis,-0.20469240982284914,-0.2944149581156492,0.02,7701,1,-2.197706077745944,0.3570433192928339,0.00020923510482151353
552,epidermis,-0.21290203702693605,-0.2885279913900769,0.02,7715,1,-2.2258815695121332,0.357041318887163,0.00020916641530855068
553,epidermis,-0.22094495372882983,-0.2824154667459178,0.02,7729,1,-2.2540570646905986,0.35704344665703197,0.00020906028825832095
554,epidermis,-0.22881507942631665,-0.27608201196873683,0.02,7743,1,-2.2822326413737013,0.35704970252027185,0.00020896027083332073
555,epidermis,-0.2365064586889853,-0.26953241465085487,0.02,7757,1,-2.310408377643633,0.3570600862500703,0.00020891441440829773
556,epidermis,-0.24401326521121558,-0.26277161893777895,0.02,7771,1,-2.33858435156155,0.35707459747651343,0.00020896964525757544
557,epidermis,-0.25132902549018354,-0.25580234928793893,0.02,7785,1,-2.366760589908755,0.3570788701535076,0.0002090816085747174
558,epidermis,-0.2584371373203683,-0.24861832069691006,0.02,7799,1,-2.3949366354311863,0.3570633271428226,0.00020909493302923978
559,epidermis,-0.26532630260042717,-0.24122577251440763,0.02,7813,1,-2.4231124237936954,0.3570519115139432,0.00020901749355476456
560,epidermis,-0.27200878996911404,-0.2336490437726249,0.02,7827,1,-2.4512880330504685,0.35704462367215584,0.00020901232703107717
561,epidermis,-0.27847814344211613,-0.2258899703414476,0.02,7841,1,-2.4794635412794968,0.3570414638802721,0.00020896012846683873
562,epidermis,-0.284729482714818,-0.21795443243008783,0.02,7855,1,-2.5076390265716264,0.3570424322567895,0.00020901429769122187
563,epidermis,-0.29075808553917537,-0.20984843753884308,0.02,7869,1,-2.535814567019845,0.3570475287750339,0.00020911784675527797
564,epidermis,-0.29655939092497774,-0.20157811636451636,0.02,7883,1,-2.5639902407086255,0.3570567532631496,0.00020916491570312768
565,epidermis,-0.30212900224151285,-0.19314971863007327,0.02,7897,1,-2.5921661257031947,0.3570701054046415,0.00020917512832138138
566,epidermis,-0.30746239012116905,-0.18456914179871017,0.02,7911,1,-2.620342297547423,0.3570843921689935,0.0002092114575898607
567,epidermis,-0.31254955358077496,-0.17583671703712642,0.02,7925,1,-2.648518414532483,0.3570676902828011,0.00020920534567612093
568,epidermis,-0.3173617736279407,-0.16694997576703716,0.02,7939,1,-2.676694248009851,0.35705511568743936,0.00020923318356348594
569,epidermis,-0.3219287791747926,-0.157938459490295,0.02,7953,1,-2.7048698760204153,0.3570466688204697,0.00020928877427764845
570,epidermis,-0.3262436853674286,-0.14880396507914406,0.02,7967,1,-2.733045376632714,0.35704234997509426,0.00020916983094115607
571,epidermis,-0.3303032463650395,-0.13955341065249782,0.02,7981,1,-2.7612208279321657,0.3570421592986892,0.0002090805812579492
572,epidermis,-0.3341044013266426,-0.13019379775895282,0.02,7995,1,-2.789396308010484,0.35704609679099875,0.00020900088576559416
573,epidermis,-0.33764427647601464,-0.12073220660714555,0.02,8009,1,-2.8175718949553565,0.35705416230248543,0.00020890584056340524
574,epidermis,-0.3409201870505278,-0.11117579124800006,0.02,8023,1,-2.8457476668402975,0.35706635553294075,0.00020892017613246362
575,epidermis,-0.34392963913281366,-0.10153177471130745,0.02,8037,1,-2.8739237017146837,0.3570826760295672,0.00020903979040781228
576,epidermis,-0.3466663584476942,-0.09180397682852018,0.02,8051,1,-2.902099849945898,0.35707279559672345,0.00020914249958284333
577,epidermis,-0.34910146358733596,-0.08199544608613019,0.02,8065,1,-2.930275704359247,0.35705906158640316,0.00020911680113529877
578,epidermis,-0.35125949555667263,-0.07212511864831508,0.02,8079,1,-2.958451327009696,0.3570494542620475,0.0002090456672160213
579,epidermis,-0.3531436915223326,-0.062199942931624175,0.02,8093,1,-2.9866267960564126,0.3570439725201605,0.00020888303940660814
580,epidermis,-0.35475157381440475,-0.05222655049432986,0.02,8107,1,-3.0148021898258386,0.3570426136561193,0.0002089288554236518
581,epidermis,-0.3560819361076025,-0.04221248695134264,0.02,8121,1,-3.0429775869690383,0.35704537288853266,0.0002090611799391889
582,epidermis,-0.35713377086492265,-0.032165327014999245,0.02,8135,1,-3.071153066686119,0.3570522433347696,0.0002091210101112823
583,epidermis,-0.3579062701464716,-0.022092669639524935,0.02,8149,1,-3.0993287089164467,0.3570632166786536,0.00020916420065230458
584,epidermis,-0.35839882706321674,-0.012002133197195824,0.02,8163,1,-3.127504594335848,0.3570782846364206,0.00020924212408187303
585,epidermis,-0.3586080593802375,-0.0018998595665841477,0.02,8177,1,3.127504594335851,0.3570782846364206,0.0002092633582887797
586,epidermis,-0.3585144916898774,0.008205947516561368,0.02,8191,1,3.0993287089164494,0.35706321667865354,0.000209263358288779
587,epidermis,-0.35812420497648645,0.018302933372967713,0.02,8205,1,3.071153066686122,0.3570522433347694,0.00020924212408187352
588,epidermis,-0.35745681316745664,0.028383415904439924,0.02,8219,1,3.0429775869690414,0.35704537288853255,0.00020916420065230547
589,epidermis,-0.35650983197848174,0.03844116962069882,0.02,8233,1,3.0148021898258412,0.3570426136561191,0.0002091210101112838
590,epidermis,-0.3552840017285513,0.04846858804325729,0.02,8247,1,2.9866267960564152,0.35704397252016035,0.00020906117993919012
591,epidermis,-0.3537802627462621,0.058458087620467496,0.02,8261,1,2.958451327009698,0.35704945426204737,0.00020892885542365478
592,epidermis,-0.35199975429508146,0.06840211253311368,0.02,8275,1,2.9302757043592482,0.35705906158640305,0.00020888303940661142
593,epidermis,-0.349943814029566,0.07829313958413903,0.02,8289,1,2.902099849945899,0.3570727955967234,0.00020904566721602184
594,epidermis,-0.347612620714242,0.08812397340064623,0.02,8303,1,2.8739237017146855,0.3570826760295673,0.0002091168011352993
595,epidermis,-0.34499636905371245,0.09788564071018281,0.02,8317,1,2.845747666840299,0.35706635553294086,0.0002091424995828449
596,epidermis,-0.3420823639281678,0.10756195501241239,0.02,8331,1,2.817571894955358,0.35705416230248554,0.00020903979040781329
597,epidermis,-0.33890621317206776,0.1171523629544564,0.02,8345,1,2.789396308010486,0.35704609679099886,0.00020892017613246216
598,epidermis,-0.3354651580385262,0.12665056304968342,0.02,8359,1,2.7612208279321675,0.35704215929868943,0.00020890584056340347
599,epidermis,-0.3317618190540858,0.1360493770165356,0.02,8373,1,2.7330453766327163,0.35704234997509443,0.000209000885765593
600,epidermis,-0.3277990063190509,0.1453416989951426,0.02,8387,1,2.7048698760204175,0.3570466688204698,0.00020908058125794726
601,epidermis,-0.32357971758373355,0.15452050037536713,0.02,8401,1,2.676694248009853,0.3570551156874395,0.00020916983094115344
602,epidermis,-0.31910713620867304,0.1635788345768719,0.02,8415,1,2.648518414532486,0.3570676902828013,0.000209288774277648
603,epidermis,-0.31438462900959285,0.17250984177863957,0.02,8429,1,2.6203422975474253,0.3570843921689937,0.0002092331835634852
604,epidermis,-0.3094096540516171,0.18130631767084035,0.02,8443,1,2.592166125703197,0.3570701054046417,0.00020920534567612093
605,epidermis,-0.30416161747820486,0.18994319056151363,0.02,8457,1,2.5639902407086277,0.3570567532631498,0.00020921145758986045
606,epidermis,-0.2986794685743857,0.19842951196171862,0.02,8471,1,2.5358145670198473,0.35704752877503404,0.00020917512832138005
607,epidermis,-0.2929646093510385,0.20676010879804974,0.02,8485,1,2.507639026571628,0.35704243225678967,0.00020916491570312763
608,epidermis,-0.2870208281449542,0.2149286351053625,0.02,8499,1,2.479463541279499,0.35704146388027225,0.00020911784675527786
609,epidermis,-0.28085263081056977,0.2229289192838303,0.02,8513,1,2.4512880330504703,0.3570446236721559,0.00020901429769122103
610,epidermis,-0.27446468538474594,0.2307549117149135,0.02,8527,1,2.423112423793697,0.35705191151394333,0.0002089601284668387
611,epidermis,-0.26786181890687405,0.2384006888724272,0.02,8541,1,2.394936635431188,0.3570633271428226,0.00020901232703107823
612,epidermis,-0.26104901414101644,0.2458604573559609,0.02,8555,1,2.366760589908756,0.3570788701535076,0.00020901749355476708
613,epidermis,-0.2540274609401405,0.25312722903121837,0.02,8569,1,2.3385843515615514,0.35707459747651327,0.00020909493302924154
614,epidermis,-0.24678753354572577,0.26017846069693645,0.02,8583,1,2.3104083776436344,0.3570600862500701,0.00020908160857471692
615,epidermis,-0.23934900165579595,0.2670166331463675,0.02,8597,1,2.2822326413737026,0.3570497025202716,0.00020896964525757647
616,epidermis,-0.2317261425806738,0.27364630308518945,0.02,8611,1,2.2540570646906,0.3570434466570317,0.00020891441440829776
617,epidermis,-0.22392239671421857,0.2800616044132304,0.02,8625,1,2.2258815695121346,0.3570413188871627,0.00020896027083332097
618,epidermis,-0.21594367646799914,0.28625769603447293,0.02,8639,1,2.1977060777459454,0.3570433192928335,0.00020906028825832146
619,epidermis,-0.20779602052823792,0.2922298957190077,0.02,8653,1,2.169530511300184,0.35704944781098363,0.00020916641530855105
620,epidermis,-0.1994855897421263,0.2979736832795969,0.02,8667,1,2.141354792094187,0.35705970423350136,0.00020923510482151404
621,epidermis,-0.19101866292884695,0.30348470364816316,0.02,8681,1,2.113178842069231,0.35707408820784026,0.00020919207617573973
622,epidermis,-0.1823997732688769,0.3087575561822301,0.02,8695,1,2.085002623533499,0.35707982965212626,0.00020919757299418093
623,epidermis,-0.17362743868043087,0.3137756749948777,0.02,8709,1,2.0568265847281424,0.35706415952580295,0.00020921320913133687
624,epidermis,-0.1647090007686097,0.3185269750243284,0.02,8723,1,2.028650809922328,0.3570526168132834,0.00020918446128823911
625,epidermis,-0.1556660961223439,0.32303127006098714,0.02,8737,1,2.000475221067248,0.3570452019161268,0.00020921828204693537
626,epidermis,-0.1465019347910339,0.3272826370566434,0.02,8751,1,1.9722997400891469,0.3570419150911932,0.00020918956835056069
627,epidermis,-0.1372234561954151,0.33127787622047905,0.02,8765,1,1.944124288900052,0.3570427564490704,0.00020909924910058334
628,epidermis,-0.12783768199816,0.33501397328858357,0.02,8779,1,1.915948789408294,0.3570477259523049,0.0002089898200497686
629,epidermis,-0.11835171132197668,0.33848810155996717,0.02,8793,1,1.88777316352878,0.35705682341386447,0.0002089355422044578
630,epidermis,-0.10877271592020542,0.34169762381624064,0.02,8807,1,1.8595973331931237,0.35707004849558766,0.00020894786765065826
631,epidermis,-0.09910774828447015,0.3446398889258071,0.02,8821,1,1.8314212209526295,0.35708580406260515,0.00020902691891921106
632,epidermis,-0.0893597361976204,0.3473064567796189,0.02,8835,1,1.8032451414588888,0.357068974913555,0.0002091347710698458
633,epidermis,-0.0795328378997012,0.34966585534231553,0.02,8849,1,1.7750693522842076,0.3570562725729289,0.00020902431232281757
634,epidermis,-0.06964875622015912,0.351756375507341,0.02,8863,1,1.7468937753386884,0.3570476967135417,0.00020901581388799934
635,epidermis,-0.05971082067236977,0.35357161690660827,0.02,8877,1,1.7187183324269275,0.35704324586351194,0.00020896239241574823
636,epidermis,-0.04972655179988011,0.3551102243648711,0.02,8891,1,1.6905429451526792,0.35704291682728295,0.00020898177584628702
637,epidermis,-0.03970350296141605,0.3563710412108485,0.02,8905,1,1.6623675347434175,0.3570467043139041,0.00020908954745647352
638,epidermis,-0.029649255396800564,0.35735310975803736,0.02,8919,1,1.6341920218270833,0.35705460107028125,0.00020916884444566734
639,epidermis,-0.01957141338003919,0.3580556722558875,0.02,8933,1,1.6060163262793903,0.3570665987193387,0.00020917016339588247
640,epidermis,-0.009477599377478196,0.35847817248766783,0.02,8947,1,1.5778403672908008,0.3570826893664422,0.00020919414414827606
641,epidermis,0.0006267552052910232,0.3586157743995641,0.02,8961,1,1.549664268966411,0.3570741332379866,0.0002092190413699513
642,epidermis,0.010731553407722636,0.35844245266344266,0.02,8975,1,1.5214884518781184,0.3570600885750709,0.00020922462788779296
643,epidermis,0.020824768439711545,0.3579836013145031,0.02,8989,1,1.4933128577774422,0.3570501403907768,0.00020928614780776414
644,epidermis,0.030900282980716096,0.3572462539615115,0.02,9003,1,1.465137406147244,0.35704429711545027,0.00020920833367804733
645,epidermis,0.040951165192017566,0.3562294833335933,0.02,9017,1,1.4369620172304678,0.35704256683731844,0.00020910671209361438
646,epidermis,0.050969813868907005,0.35493407993061,0.02,9031,1,1.408786611978414,0.3570449560011735,0.0002090357327275191
647,epidermis,0.06094865194217992,0.35336103395053137,0.02,9045,1,1.38061111183895,0.35705146889413847,0.0002089400116791726
648,epidermis,0.07088013129328286,0.3515115343355495,0.02,9059,1,1.3524354385402555,0.3570621077906959,0.0002088877411784153
649,epidermis,0.08075673766636253,0.3493869683059957,0.02,9073,1,1.3242595139521365,0.35707687349182826,0.000208996083663475
650,epidermis,0.0905716126775533,0.3469859312009401,0.02,9087,1,1.296083337012085,0.35707820856401573,0.00020910970219181857
651,epidermis,0.1003123737602659,0.3442927191716373,0.02,9101,1,1.2679073751654397,0.3570629198249047,0.00020913958656912246
652,epidermis,0.10996780666981304,0.34131329705586577,0.02,9115,1,1.239731656798062,0.3570517584804634,0.0002090804606916368
653,epidermis,0.11953583938838956,0.33807068495748344,0.02,9129,1,1.2115561038536906,0.3570447249446377,0.0002089303101969618
654,epidermis,0.12900986316573973,0.3345638057400052,0.02,9143,1,1.1833806382543437,0.35704181947990526,0.00020890529730623416
655,epidermis,0.13838271737058386,0.3307953274975387,0.02,9157,1,1.1552051819104172,0.3570430421984635,0.00020902685830648094
656,epidermis,0.14764731500474143,0.32676810742788914,0.02,9171,1,1.1270296567308453,0.35704839306350267,0.00020911377145716635
657,epidermis,0.1567966475193384,0.3224851898796447,0.02,9185,1,1.0988539846334733,0.3570578718909651,0.00020914514428200756
658,epidermis,0.16582378958249352,0.31794980428359687,0.02,9199,1,1.0706780875557012,0.3570714783513756,0.00020921156307768948
659,epidermis,0.17472184839857102,0.31316425419167054,0.02,9213,1,1.042501897667127,0.35708282751797976,0.00020925130108021952
660,epidermis,0.18348041363017173,0.308122200244299,0.02,9227,1,1.0143258029415048,0.3570663799272902,0.00020926253893560254
661,epidermis,0.19207898500032752,0.30281276532382045,0.02,9241,1,0.9861499780511971,0.35705405965854103,0.00020925180555512015
662,epidermis,0.20052701359544306,0.2972724552435978,0.02,9255,1,0.9579743449525356,0.3570458671362711,0.0002091857354870532
663,epidermis,0.2088176778956243,0.2914999520789144,0.02,9269,1,0.9297988255745097,0.35704180264091234,0.00020913086515157085
664,epidermis,0.21694471755861106,0.28549963802056566,0.02,9283,1,0.9016233418295572,0.3570418663080485,0.00020909387482166873
665,epidermis,0.22490199109030728,0.27927605976125475,0.02,9297,1,0.8734478156242655,0.35704605812793283,0.00020898091505380348
666,epidermis,0.2326834800127839,0.2728339253903434,0.02,9311,1,0.8452721688700154,0.35705437794567396,0.00020889077238686002
667,epidermis,0.24028329295610507,0.2661781011893086,0.02,9325,1,0.8170963234937265,0.35706682546237395,0.00020898628683569984
668,epidermis,0.247695669672055,0.25931360832972217,0.02,9339,1,0.7889202014488916,0.3570834002373179,0.00020909453521829964
669,epidermis,0.254913085080584,0.25224010977598,0.02,9353,1,0.7607440037400632,0.3570705822293183,0.00020915718784929324
670,epidermis,0.2619069970025828,0.24494473393776575,0.02,9367,1,0.7325680965102517,0.3570571028330366,0.00020907997142586074
671,epidermis,0.26869387728848093,0.23746056323725426,0.02,9381,1,0.7043924074155996,0.35704775103974395,0.00020895634957660323
672,epidermis,0.2752704174842769,0.2297919352263201,0.02,9395,1,0.6762168583887133,0.3570425271840609,0.00020887662213446565
673,epidermis,0.28163136407918943,0.22194388646720128,0.02,9409,1,0.6480413713439286,0.35704143145683026,0.0002089662877708843
674,epidermis,0.2877719153905865,0.21392236132157993,0.02,9423,1,0.6198658681880953,0.3570444639038599,0.00020905890931730223
675,epidermis,0.29368742940524484,0.2057334294044564,0.02,9437,1,0.5916902708312208,0.3570516244256331,0.0002091360449786823
676,epidermis,0.29937342693113383,0.1973832814515222,0.02,9451,1,0.5635145011971678,0.3570629127777134,0.00020924953665024548
677,epidermis,0.3048255946486537,0.18887822511171162,0.02,9465,1,0.5353384812344245,0.35707832857145644,0.000209259827880693
678,epidermis,0.31003764091384206,0.18022144225934686,0.02,9479,1,0.5071622566568845,0.35707552470158715,0.00020921722097404374
